1_name_lt;Beißender Frost
142107_fluff;Berühmt für Untergangsprophezeiungen. Für alle Beteiligten mäßig amüsant.
142107_name;Ithlinne Aegli
142107_tooltip;<keyword=deploy>Einsatz</keyword>: Verbessere eine Scoia'tael-Einheit auf deiner Hand um {Boost}.
142108_fluff;Die Zeit ist gekommen, dem Tod ins Auge zu blicken.
142108_name;Schirrü
142108_tooltip;<keyword=zeal>Eifer</keyword>.\n<keyword=order>Befehl</keyword>: Zerstöre alle anderen Einheiten mit derselben Stärke wie Schirrü.
142201_fluff;Ich weiß, wie ich meine Befehle auszuführen habe, also geh jemand anderen beraten.
142201_name;Dennis Cranmer
142201_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Verbessere benachbarte Einheiten um {Boost2}.\n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Verbessere alle anderen Einheiten in dieser Reihe um {Boost}.
142202_fluff;Ich bin eine Wissende. Meine Macht ist mein Wissen, nicht dessen Weitergabe.
142202_name;Ida Emean aep Sivney
142202_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Zerstöre ein Artefakt.\n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Verbessere eine Einheit um {Boost}.
142203_fluff;Wir sind die Regentropfen, aus deren Masse ein tobendes Unwetter wird.
142203_name;Yaevinn
142203_tooltip;<keyword=deploy>Einsatz</keyword>: Füge einer gegnerischen Einheit für jeden verbündeten Elf {Damage} Schaden zu.
142204_fluff;Ich würde dich ja gerne aus der Nähe töten ... aber du stinkst, Mensch.
142204_name;Toruviel
142204_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Füge allen gegnerischen Einheiten am Ende einer Reihe {Damage} Schaden zu.\n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Füge allen Einheiten in einer Reihe {Damage2} Schaden zu.
142205_fluff;Meine schlimmsten Erlebnisse? Die Catriona-Krankheit, die Zerstörung von Vengerberg und der Sturmangriff der Vrihedd-Dragoner.
142205_name;Vrihedd-Dragoner
142205_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Verschiebe eine gegnerische Einheit in die andere gegnerische Reihe. \n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Verschiebe eine verbündete Einheit in deine andere Reihe.
142206_fluff;Der Pfad zur Freiheit ist mit Blut getränkt, nicht mit Tinte.
142206_name;Ciaran aep Easnillen
142206_tooltip;<keyword=deploy>Einsatz</keyword>: <keyword=lock>Blockiere</keyword> eine Einheit und verschiebe sie in die andere Reihe auf ihrer Seite.
142207_fluff;Unser Met riecht also mies, ja? Da kann ich helfen - ich brech dir die Nase!
142207_name;Barclay Els
142207_tooltip;<keyword=deploy>Einsatz</keyword>: Verbessere eine verbündete Einheit für jeden verbündeten Zwerg um {Boost}.
142208_fluff;Von der Herrin Eithné hatte die Tochter ihre außergewöhnliche Schönheit und ihren wilden Hass auf die Menschen.
142208_name;Morenn
142208_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Füge einer gegnerischen Einheit {Damage} Schaden zu.\n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: <keyword=lock>Blockiere</keyword> eine Einheit.
142209_fluff;Mona ...? Nein ... nein. Ich bin Braenn. Eine Tochter des Brokilon.
142209_name;Braenn
142209_tooltip;<keyword=deploy>Einsatz</keyword>: Kontrollierst du mindestens {Counter} Dryaden, gib dieser Einheit <keyword=zeal>Eifer</keyword>.\n<keyword=order>Befehl</keyword>: Füge einer gegnerischen Einheit {Damage} Schaden zu.\n<keyword=charge>Ladungen</keyword>: {Charges}.
142210_fluff;Ich hasse euch Dh'oine. Ihr seid alle gleich.
142210_name;Malena
142210_tooltip;<keyword=order>Befehl</keyword>: Verschiebe eine Einheit in die andere Reihe auf ihrer Seite.\n<keyword=cooldown>Abklingzeit</keyword>: {Cooldown}.
142211_fluff;Besser stehend sterben als kniend leben.
142211_name;Aelirenn
142211_tooltip;Kontrollierst du am Ende des Zugs mindestens {MaxTargets} verbündete Elfen, <keyword=summon>rufe</keyword> diese Einheit aus deinem Deck in die Nahkampfreihe herbei.
142212_fluff;Ich war dort - an vorderster Front! Wo die Kämpfe am heftigsten tobten!
142212_name;Sheldon Skaggs
142212_tooltip;<keyword=deploy>Einsatz</keyword>: Füge einer gegnerischen Einheit Schaden in Höhe der Stärke dieser Einheit zu.
142213_fluff;Hast du schon vom Drachen Ocvist gehört? Beim Quartzberg? Nun, Yarpen Zigrin und seine Leute haben ihn erledigt.
142213_name;Yarpen Zigrin
142213_tooltip;Verbessere diese Einheit jeden Zug am Ende des Zugs um {Boost}, wenn sich keine verbündeten Einheiten auf dem Schlachtfeld befinden.
142214_fluff;Die Liebe rechtfertigt jede erdenkliche Form von Wahnsinn.
142214_name;Ele'yas
142214_tooltip;<keyword=deploy>Einsatz</keyword>: Füge allen beschädigten Einheiten {Damage} Schaden zu und verbessere alle verbesserten Einheiten um {Boost}.
142301_fluff;Klar kann ich dich zusammenflicken. Das kostet aber.
142301_name;Havka-Heiler
142301_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Verbessere eine verbündete Einheit um {Boost}.\n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: <keyword=heal>Heile</keyword> eine verbündete Einheit um {Boost2}.
142302_fluff;"'Vrihedd'? Was bedeutet das?" - "Ärger."
142302_name;Vrihedd-Brigade
142302_tooltip;<keyword=deploy>Einsatz</keyword>: Füge einer zufällig gewählten gegnerischen Einheit {Damage} Schaden zu.\nWann immer Vrihedd-Brigade in die andere Reihe verschoben wird, wiederhole ihre <keyword=deploy>Einsatz</keyword>-Fähigkeit.
142303_fluff;Hass brennt heller als jedes Feuer und schneidet tiefer als jede Klinge.
142303_name;Vrihedd-Offizier
142303_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Füge einer gegnerischen Einheit {Damage} Schaden zu.\n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Verbessere eine verbündete Einheit um {Boost}.
142304_fluff;Sie wittern wie Hunde, laufen wie Rehe und töten wie herzlose Dämonen.
142304_name;Dol Blathanna: Fallen
142304_tooltip;<keyword=deploy>Einsatz</keyword>: Füge in jeder Reihe einer zufällig gewählten gegnerischen Einheit {Damage} Schaden zu.
142305_fluff;Ich hab meine Picke so lange geschwungen, da ist eine Kriegsaxt kein Problem.
142305_name;Zwergenplänkler
142305_tooltip;<keyword=deploy>Einsatz</keyword>: Füge einer gegnerischen Einheit {Damage} Schaden zu. Überlebt sie, verbessere diese Einheit um {Boost}.
142306_fluff;Ich sage dir, wir sind zum Kämpfen geboren - wir zielen genau auf ihre Knie.
142306_name;Mahakam-Verteidiger
142306_tooltip;Verbessere diese Einheit jeden Zug am Ende des Zugs um {Boost}, wenn sie verbessert wurde.
142307_fluff;Was immer du auch gehört hast, Elfen nehmen keine Menschenskalps. Zu viele Läuse.
142307_name;Vrihedd-Sappeure
142307_tooltip;<keyword=deploy>Einsatz</keyword>: Hast du einen Elfen auf der Hand, zerstöre ein gegnerisches Artefakt.
142308_fluff;Ich spucke auf die Ideale der Scoia'tael. Aber nicht auf ihr Geld.
142308_name;Wegelagerei
142308_tooltip;Befindet sich ein verbündeter Elf auf dem Schlachtfeld, zerstöre eine zufällig gewählte gegnerische Einheit.
142309_fluff;Temerier, Redanier, sie sind alle gleich. Tot noch am besten.
142309_name;Vrihedd-Vorhut
142309_tooltip;<keyword=deploy>Einsatz</keyword>: Verbessere diese Einheit für jeden Elfen auf deiner Hand um {Boost}.
142310_fluff;Nur zu, Dh'oine. Ein Pfeil zwischen den Augen wird dir stehen.
142310_name;Dol Blathanna: Bögen
142310_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Füge einer gegnerischen Einheit {Damage} Schaden zu.\n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Füge {MaxTargets} Einheit(en) {Damage2} Schaden zu.
142311_fluff;Es kommt drauf an, das Angenehme mit dem Nützlichen zu verbinden: Dresche austeilen und dafür bezahlt werden!
142311_name;Zwergensöldner
142311_tooltip;<keyword=order>Befehl</keyword>: Füge einer gegnerischen Einheit {Damage} Schaden zu. \n<keyword=charge>Ladungen</keyword>: {Charges}.\nGib dieser Einheit {Charges2} <keyword=charge>Ladung</keyword>, wann immer du einen Zwerg ausspielst.
142312_fluff;Elfen, Zwerge - einerlei, solange die Kasse stimmt.
142312_name;Havka-Unterstützer
142312_tooltip;<keyword=deploy>Einsatz</keyword>: Verbessere eine verbündete Einheit um {Boost}. Kontrollierst du ein Artefakt, verbessere eine verbündete Einheit stattdessen um {Boost2}.
142313_fluff;Willst du sagen, die Elfin hätte mitten im Gefecht getanzt? Hast du etwa den Verstand verloren, Gefreiter?
142313_name;Elfen-Kriegstänzerin
142313_tooltip;<keyword=deploy>Einsatz</keyword>: Wenn diese Einheit bereits verbessert wurde, füge einer gegnerischen Einheit {Damage} Schaden zu.
142314_fluff;Es mag dir gelingen, dich zu verstecken, aber wenn du entdeckt wirst, gib dir keine Mühe zu flüchten.
142314_name;Dol Blathanna: Pfeile
142314_tooltip;<keyword=deploy>Einsatz</keyword>: Füge einer gegnerischen Einheit für jede Reihe, die sie von dieser Einheit trennt, {Damage} Schaden zu.
142315_fluff;Ich kämpfe für den, der am besten zahlt. Oder am einfachsten auszurauben ist.
142315_name;Havka-Schmuggler
142315_tooltip;<keyword=melee>Nahkampf</keyword>: Verbessere jeden Zug am Ende des Zugs eine zufällig gewählte Einheit auf deiner Hand um {Boost}.
142316_fluff;Als wir sie hörten, war es schon zu spät ...
142316_name;Blaue-Berge-Elite
142316_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Füge einer gegnerischen Einheit {Damage} Schaden zu, wenn sich keine anderen Einheiten in ihrer Reihe befinden.
142317_fluff;Das ist die Strafe für Ruhestörung in Mahakam: ein Hammer auf die Birne.
142317_name;Mahakam-Wache
142317_tooltip;<keyword=deploy>Einsatz</keyword>: Verbessere diese Einheit um die Anzahl der verbündeten Zwerge in der anderen Reihe.
142401_fluff;Viele Anderlinge, die den Rassismus und Fremdenhass in den Städten leid sind, gehen in die Wälder und schließen sich den Scoia'tael an.
142401_name;Scoia'tael-Neuling
142401_tooltip;<keyword=deploy>Einsatz</keyword>: <keyword=spawn>Generiere</keyword> eine einfache Kopie dieser Einheit und <keyword=summon>rufe</keyword> sie in die andere verbündete Reihe herbei.
143201_fluff;Ihr entreißt der Erde mit Gewalt ihre Schätze. Für uns brachte sie Früchte und Blumen hervor, weil sie uns liebte.
143201_name;Schlangenfalle
143201_tooltip;<keyword=ambush>Überfall</keyword>: Zerstöre die nächste Sonderkarte, die vom Gegner ausgespielt wird, bevor ihre Fähigkeit aktiviert wird.
143301_fluff;Vorsicht ...! Noch einen Schritt und du verwandelst dich in geschmolzenes Glas.
143301_name;Einäscherungsfalle
143301_tooltip;<keyword=ambush>Überfall</keyword>: Füge der nächsten Einheit, die vom Gegner ausgespielt wird, {Damage} Schaden zu.\n<keyword=zeal>Eifer</keyword>.\n<keyword=order>Befehl</keyword>: Drehe diese Einheit um und füge einer anderen Einheit {Damage2} zu.
152101_fluff;Betrauern wir nicht die Toten, trinken wir lieber zu ihrem Gedächtnis!
152101_name;Hjalmar an Craite
152101_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: <keyword=banish>Verbanne</keyword> eine Einheit auf deinem Friedhof und füge einer gegnerischen Einheit Schaden in Höhe ihrer Stärke zu.
152103_fluff;Nur die Unwissenden tun Mythen als Märchen ab.
152103_name;Mäussack
152103_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Spiele eine Alchemiekarte aus deinem Deck aus.
152104_fluff;Wenn die Zeit gekommen ist, wird der Hahn Kambi krähen, und Hemdall wird erwachen.
152104_name;Kambi
152104_tooltip;<keyword=deploy>Einsatz</keyword>: <keyword=discard>Verwirf</keyword> die Karte ganz rechts auf deiner Hand und zwinge dann deinen Gegner, dasselbe zu tun.
152105_fluff;Skellige braucht einen starken König. Um jeden Preis.
152105_name;Birna Bran
152105_tooltip;<keyword=deploy>Einsatz</keyword>: Ziehe bis zu {MaxTargets} Karten und <keyword=discard>verwirf</keyword> dann {MaxTargets}.
152106_fluff;UAAAAAAAAAR!!!
152106_name;Lugos der Irre
152106_tooltip;<keyword=deploy>Einsatz</keyword>: Füge einer gegnerischen Einheit Schaden in Höhe der doppelten Anzahl beschädigter gegnerischer Einheiten zu.
152107_fluff;Eigentlich heißt sie Astrid Lyttneyd Ásgeirrfinnbjornsdottir, aber das passt doch auf kein Formular.
152107_name;Koralle
152107_tooltip;<keyword=order>Befehl</keyword>: <keyword=discard>Verwirf</keyword> eine Karte. Ziehe dann eine Karte.\n<keyword=charge>Ladungen</keyword>: {Charges}.\nWann immer eine Sonderkarte <keyword=discard>verworfen</keyword> wird, füge einer gegnerischen Einheit {Damage} Schaden zu.
152109_fluff;Jedem Bürger von Nilfgaard läuft es schon bei der bloßen Erwähnung seines Namens warm das Hosenbein herunter ...
152109_name;Wildschwein der See
152109_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Füge allen gegnerischen Einheiten, die beschädigt sind, {Damage} Schaden zu.
152201_fluff;Ich könnte vor Langeweile kotzen.
152201_name;Blaujung Lugos
152201_tooltip;Wann immer diese Einheit Schaden erleidet, füge einer zufällig gewählten gegnerischen Einheit {Damage} Schaden zu.
152202_fluff;Im Nahkampf verwenden Trolle niemals Waffen. Wozu auch?
152202_name;Ansturm des Meisters
152202_tooltip;Füge einer Einheit {Damage} Schaden zu.\n<keyword=bloodthirst>Blutdurst</keyword> {Bloodthirst}: Zerstöre stattdessen eine Einheit.
152203_fluff;Wenn auf einem Haftbefehl "tot oder lebendig" steht, würden dich die meisten Kopfgeldjäger einfach umbringen. Ich nicht. Solltest du mir in die Hände fallen, würde ich dich aufknüpfen und an den Füßen kitzeln, bis du tot bist.
152203_name;Djenge Frett
152203_tooltip;<keyword=bloodthirst>Blutdurst</keyword> {Bloodthirst}: <keyword=lock>Blockiere</keyword> eine gegnerische Einheit.
152204_fluff;Ich habe alle Jarls versammelt. Bring dein Anliegen vor.
152204_name;Donar an Hindar
152204_tooltip;<keyword=deploy>Einsatz</keyword>: Füge einer gegnerischen Einheit {Damage} Schaden zu. \n<keyword=bloodthirst>Blutdurst</keyword> {Bloodthirst}: Füge einer gegnerischen Einheit stattdessen {Damage2} Schaden zu.
152205_fluff;Hört die Geschichte der heroischen Taten des Clans an Craite.
152205_name;Draig Bon-Dhu
152205_tooltip;<keyword=deploy>Einsatz</keyword>: Verbessere alle verbündeten Krieger um {Boost}.
152206_fluff;Ein Erzdruide, ein Meister der Alchemie und der mürrischste Alte der Inseln.
152206_name;Gremist
152206_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Spiele eine Alchemie-Bronzekarte aus deinem Friedhof aus.
152207_fluff;Trinken wir auf den Kaiser von Nilfgaard - möge er an etwas Scheußlichem zu Grunde gehen!
152207_name;Holger Schwarzhand
152207_tooltip;Wann immer du ein Schiff ausspielst, verbessere es um {Boost}.\nWann immer du einen Piraten ausspielst, füge einer zufällig gewählten gegnerischen Einheit {Damage} Schaden zu.
152208_fluff;Manche nennen sie Eiserne Jungfrau.
152208_name;Jutta an Dimun
152208_tooltip;<keyword=deploy>Einsatz</keyword>: Ist Jutta an Dimun die stärkste Einheit, füge dieser Einheit {Damage} Schaden zu.
152209_fluff;Der übelste Kerl, den Skellige je erlebt hat.
152209_name;Morkvarg
152209_tooltip;Wird diese Einheit auf den Friedhof verschoben, <keyword=summon>rufe</keyword> sie in der Nahkampfreihe herbei und gib ihr <keyword=doomed>Verdammt</keyword>.
152210_fluff;"Zahm"? Weißt du, Junge, auf Skellige werden Bären zwar ausgebildet, aber nicht gezähmt …
152210_name;Wilder Bär
152210_tooltip;<keyword=zeal>Eifer</keyword>.\n<keyword=deploy>Einsatz</keyword>: Gib dieser Einheit {Charges2} <keyword=charge>Ladung</keyword> für jeden Wilden Bären auf dem Friedhof.\n<keyword=order>Befehl</keyword>: Füge einer Einheit {Damage} Schaden zu.\n<keyword=charge>Ladungen</keyword>: {Charges}.
152211_fluff;Fallt auf die Knie und erfleht Modron Freyas Vergebung.
152211_name;Sigrdrifas Ritual
152211_tooltip;<keyword=summon>Rufe</keyword> einen Krieger aus deinem Friedhof in eine verbündete Reihe herbei.
152213_fluff;Der Kaiser hat ihn auch für einen Zufallskönig gehalten. Zuerst.
152213_name;Svanrige Tuirseach
152213_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=bloodthirst>Blutdurst</keyword> {Bloodthirst}: Verbessere diese Einheit um {Boost}.
152214_fluff;Die Götter haben gesprochen: Es muss ein Opfer geben.
152214_name;Udalryk an Brokvar
152214_tooltip;<keyword=order>Befehl</keyword>: Füge einer Einheit {Damage} Schaden zu. \n<keyword=charge>Ladungen</keyword>: {Charges}.\n<keyword=bloodthirst>Blutdurst</keyword> {Bloodthirst}: Gib dieser Einheit <keyword=zeal>Eifer</keyword>.
152301_fluff;Den Balladen der Skalden zufolge ist ein Berserker, der sich im Kampf verwandelt, nicht von einem echten Bären zu unterscheiden.
152301_name;Wütender Berserker
152301_tooltip;postponed
152302_fluff;Nun iss deine Suppe auf, sonst kommt ein Berserker und verschlingt dich.
152302_name;Berserkerbrigant
152302_tooltip;postponed
152303_fluff;Die Barden unseres Clans werden meine Taten noch lange besingen, nachdem du tot und vergessen bist!
152303_name;An-Craite-Krieger
152303_tooltip;<keyword=deploy>Einsatz</keyword>: Füge einer gegnerischen Einheit {Damage} Schaden zu. Wird diese Einheit aus dem Friedhof ausgespielt, füge der gegnerischen Einheit stattdessen {Damage2} Schaden zu.
152304_fluff;Und ob wir jagen können. Leider gibt es nicht viel Wild auf Spikeroog ...
152304_name;Brokvar-Jäger
152304_tooltip;<keyword=order>Befehl</keyword>: Füge einer gegnerischen Einheit {Damage} Schaden zu.\n<keyword=charge>Ladungen</keyword>: {Charges}.\nGib dieser Einheit {Charges2} <keyword=charge>Ladung</keyword>, wann immer du eine Karte <keyword=discard>verwirfst</keyword>.
152305_fluff;Ich kann die Angst in ihren Augen sehen. Vor mir ... vor dem Clan Dimun!
152305_name;Dimun-Pirat
152305_tooltip;<keyword=deploy>Einsatz</keyword>: Verschiebe die oberste Karte in deinem Deck auf deinen Friedhof.
152306_fluff;Alle zusammen! Hoch die Farben!
152306_name;Dimun-Piratenkapitän
152306_tooltip;<keyword=deploy>Einsatz</keyword>.\n<keyword=bloodthirst>Blutdurst</keyword> {Bloodthirst}: Füge einer gegnerischen Einheit {Damage} Schaden zu.
152307_fluff;Die Königin wird von den zähesten, wildesten Schildmaiden beschützt, die Skellige je gesehen hat.
152307_name;Drummond-Leibwache
152307_tooltip;<keyword=order>Befehl</keyword>: Erleidet diese Einheit Schaden, <keyword=spawn>generiere</keyword> eine einfache Kopie von ihr und <keyword=summon>rufe</keyword> sie rechts neben dieser Einheit herbei.
152308_fluff;Die Taten des Clans Heymaey werden in die Geschichte eingehen.
152308_name;Heymaey-Skalde
152308_tooltip;<keyword=deploy>Einsatz</keyword>: <keyword=discard>Verwirf</keyword> eine Karte. Ziehe dann eine Karte.
152309_fluff;Ihnen entkommen? In den Gewässern von Skellige? Viel Glück.
152309_name;Dimun-Langschiff
152309_tooltip;<keyword=order>Befehl</keyword>: Füge dieser und einer gegnerischen Einheit {Damage} Schaden zu. \n<keyword=cooldown>Abklingzeit</keyword>: {Cooldown}.
152310_fluff;Modron Freya, die Große Mutter, ist die Göttin der Liebe, der Schönheit und der Reichlichkeit.
152310_name;Freyas Segen
152310_tooltip;Spiele eine Bronzeeinheit aus deinem Friedhof aus.
152311_fluff;Denk an meine Worte: Ein guter Schild kann dir das Leben retten.
152311_name;An-Craite-Schmied
152311_tooltip;<keyword=order>Befehl</keyword>: Verbessere eine verbündete Einheit um {Boost}. \n<keyword=charge>Ladungen</keyword>: {Charges}.\nGib dieser Einheit {Charges2} <keyword=charge>Ladung</keyword>, wann immer du einen Krieger ausspielst.
152312_fluff;Schwerter sind was für Weiber. Nimm lieber eine Axt.
152312_name;Tuirseach-Axtkämpfer
152312_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Zerstöre eine gegnerische Einheit, die höchstens die Hälfte ihrer Basisstärke aufweist.
152313_fluff;Freunden zeigen wir das Herz, Feinden die Axt. Merk dir das.
152313_name;Tuirseach-Plänkler
152313_tooltip;Wird diese Einheit <keyword=discard>verworfen</keyword>, <keyword=summon>rufe</keyword> sie aus deinem Friedhof in die Nahkampfreihe herbei.
152314_fluff;Man sagt, Hemdalls Herz weitet sich, wenn er die Langschiffe zur Plünderfahrt auslaufen sieht.
152314_name;An-Craite-Langschiff
152314_tooltip;Wann immer dein Gegner eine Einheit ausspielt, füge ihr {Damage} Schaden zu.
152315_fluff;Du kannst ein bewegtes Ziel also auf zweihundert Schritt treffen? Ich auch. Bei Sturm.
152315_name;Brokvar-Schütze
152315_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Füge einer gegnerischen Einheit Schaden in Höhe der Anzahl der beschädigten Einheiten auf ihrer Seite zu.
152316_fluff;Ob Mann oder Baum, die Axt eines Skelligers fällt jeden!
152316_name;Ausweidehieb
152316_tooltip;Füge einer Einheit {Damage} Schaden zu.\n<keyword=bloodthirst>Blutdurst</keyword> {Bloodthirst}: Füge einer Einheit stattdessen {Damage2} Schaden zu.
152317_fluff;Mach dich auf Prügel gefasst.
152317_name;An-Craite-Plattner
152317_tooltip;<keyword=deploy>Einsatz</keyword>: Verbessere eine verbündete Einheit um {Boost}. Wenn es sich um einen Krieger handelt, verbessere ihn stattdessen um {Boost2}.
152318_fluff;Sie werden an unseren Schilden zerspritzen wie Wellen an der Felsküste.
152318_name;Drummond-Schildmaid
152318_tooltip;Wenn diese Einheit das nächste Mal Schaden erleidet, <keyword=summon>rufe</keyword> eine Kopie von ihr aus deinem Deck herbei.
152402_fluff;Wenn die Zeit der Weißen Kälte kommt, wird Hemdall zum Kampf rufen.
152402_name;Hemdall
152402_tooltip;Wann immer ein verbündeter Krieger einer gegnerischen Einheit Schaden zufügt, verbessere diese Einheit um den Schadensbetrag.
152403_fluff;"Zu groß für einen Buckelfisch. Das ist ein Flossenrücken." "Flossenrücken? Mit dem kurzen Maul? Dir sind diese Kräuter zu Kopf gestiegen!"
152403_name;Delirium
152403_tooltip;Teile {Damage} Schaden zufällig zwischen allen Einheiten in einer gegnerischen Reihe auf.
152405_fluff;Auf zur Bärenjagd! Wir fangen einen ... DAS DING IST RIESIG! LAUFT!
152405_name;Ältester Bär
152405_tooltip;Keine Fähigkeit.
152406_fluff;Roooaaar!
152406_name;Wütender Bär
152406_tooltip;<keyword=deploy>Einsatz</keyword>: Füge einer verbündeten Einheit zur Linken {Damage} Schaden zu. Ist keine verbündete Einheit vorhanden, füge stattdessen dieser Einheit {Damage} Schaden zu.
153201_fluff;Diese verfluchten Zauberinnen stehlen uns die Schau! Warum sollen sich die einfachen Leute denn stundenlang abmühen, wenn eine parfümierte Schnepfe ihr Problem mit einem Fingerschnippen lösen kann?
153201_name;Wiederherstellen
153201_tooltip;<keyword=heal>Heile</keyword> alle Einheiten in einer Reihe.
153301_fluff;Ein äußerst schrecklicher Anblick ... Die arme Seele lag zerfetzt am Boden und die Bestie leckte ihr Blut auf.
153301_name;Zerfetzen
153301_tooltip;Füge allen Einheiten in einer Reihe {Damage} Schaden zu.
162101_fluff;Hexer sterben nie in ihren Betten.
162101_name;Letho von Guleta
162101_tooltip;<keyword=deploy>Einsatz</keyword>: Entferne alle "Neu ziehen" vom gegnerischen Anführer.
162102_fluff;Ich ziehe gehorsame Späher einer guten Kavalleriebrigade jederzeit vor.
162102_name;Menno Coehoorn
162102_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Spiele eine Taktikkarte aus deinem Deck aus.
162103_fluff;Es gibt kein Problem, das man mit einem cleveren Attentat nicht lösen könnte.
162103_name;Vattier de Rideaux
162103_tooltip;<keyword=order>Befehl</keyword>, <keyword=melee>Nahkampf</keyword>: <keyword=seize>Ergreife</keyword> eine <keyword=lock>blockierte</keyword> gegnerische Einheit.
162104_fluff;Seine Augen blitzten unter dem Flügelhelm. Die Schwertklinge glomm feurig.
162104_name;Cahir Dyffryn
162104_tooltip;<keyword=melee>Nahkampf</keyword>: Wann immer eine gegnerische Einheit verbessert wird, verbessere diese Einheit um denselben Betrag.
162105_fluff;Wir sind alle nur Bauern auf seinem Brett in einem Spiel, dessen Regeln wir nicht kennen.
162105_name;Vilgefortz
162105_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Zerstöre eine gegnerische Einheit, dann <keyword=summon>ruft</keyword> dein Gegner die oberste Einheit aus seinem Deck in eine zufällig gewählte gegnerische Reihe herbei. \n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Zerstöre eine verbündete Einheit und <keyword=summon>rufe</keyword> dann die oberste Einheit aus deinem Deck in eine zufällig gewählte verbündete Reihe herbei.
162106_fluff;Die Narbe der zukünftigen Kaiserin stammt von mir. Mein größter Stolz.
162106_name;Stefan Skellen
162106_tooltip;<keyword=order>Befehl</keyword>: <keyword=spawn>Generiere</keyword> die Kopie einer Taktikkarte, die du in diesem Zug ausgespielt hast, und spiele sie aus.
162107_fluff;Tibors Eifer war legendär. Es heißt, beim Tod des Kaisers hätte er nicht nur sein Haupt geneigt, sondern sich vielmehr über den Boden gewälzt.
162107_name;Tibor Eggebracht
162107_tooltip;<keyword=deploy>Einsatz</keyword>: Dein Gegner <keyword=summon>ruft</keyword> die oberste Einheit aus seinem Deck in eine zufällig gewählte gegnerische Reihe herbei.
162108_fluff;Astrologie, Hydromantie, Hieroskopie, Aeromantie. Ovomantie, Spodomantie, Metroskopie, Brontoskopie ...
162108_name;Xarthisius
162108_tooltip;<keyword=deploy>Einsatz</keyword>: <keyword=reveal>Enthülle</keyword> eine zufällig gewählte Karte in deinem Deck. Wenn sie eine Einheit ist, verbessere sie um ihre Stärke und mische sie zurück ins Deck. Wenn sie ein Artefakt oder eine Sonderkarte ist, spiele sie aus.
162201_fluff;Ein Feuerball? Natürlich. Was immer Eure kaiserliche Hoheit wünschen.
162201_name;Albrich
162201_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Verschiebe eine beliebige Karte aus deinem Deck nach oben. Wenn sie eine Einheit ist, verstärke sie um {Boost}.
162202_fluff;Nilfgaards Magier haben die Wahl: kriecherische Unterordnung oder Galgen.
162202_name;Assire var Anahid
162202_tooltip;<keyword=deploy>Einsatz</keyword>, <keyword=melee>Nahkampf</keyword>: Mische eine Karte aus dem gegnerischen Friedhof zurück ins gegnerische Deck. \n<keyword=deploy>Einsatz</keyword>, <keyword=ranged>Fernkampf</keyword>: Mische eine Karte aus deinem Friedhof zurück in dein Deck.
162203_fluff;Cynthia kann tödlich sein. Sie braucht eine harte Hand.
162203_name;Cynthia
